disease,diseaseClass,genes
MICROVASCULAR COMPLICATIONS OF DIABETES-SUSCEPTIBILITY TO-4,Cardiovascular ; Endocrine System ; Urogenital,IL1RN
Mucositis,Digestive System ; Stomatognathic ,IL1RN
Myocardial Infarction,Cardiovascular ,IL1RN
Myositis,Musculoskeletal ; Nervous System ,IL1RN
Necrosis,Pathological Conditions,IL1RN
INTERLEUKIN 1 RECEPTOR ANTAGONIST DEFICIENCY,Unclassified,IL1RN
Pain,Nervous System ; Pathological Conditions; Psychological Phenomena and Processes,IL1RN
Peripheral Nervous System Diseases,Nervous System ,IL1RN
Prostatic Neoplasms, Male Urogenital ,IL1RN
Proteinuria,Urogenital; Pathological Conditions,IL1RN
Schnitzler Syndrome,Immune System ,IL1RN
Sclerosis,Pathological Conditions,IL1RN
Skin Diseases,Skin and Connective Tissue ,IL1RN
Status Epilepticus,Nervous System ,IL1RN
Stomach Neoplasms, Digestive System ,IL1RN
Alzheimer Disease,Nervous System ; Mental Disorders,IL1RN
Rhinitis-Allergic-Perennial,Respiratory Tract ; Otorhinolaryngologic ; Immune System ,IL1RN
Carcinoma-Squamous Cell,Neoplasms,IL1RN
Vulvar Neoplasms, Female Urogenital,IL1RN
Cell Transformation-Neoplastic, Pathological Conditions,IL1RN
Liver Cirrhosis-Biliary,Digestive System ,IL1RN
Meningococcal Infections,Bacterial Infections and Mycoses,IL1RN
Periodontitis,Stomatognathic ,IL1RN
Hepatitis B-Chronic,Virus ; Digestive System ,IL1RN
Adenocarcinoma,Neoplasms,IL1RN
Vulvar Diseases,Female Urogenital,IL1RN
Asthma,Respiratory Tract ; Immune System ,IL1RN
Sepsis,Bacterial Infections and Mycoses; Pathological Conditions,IL1RN
Diabetic Nephropathies,Urogenital; Endocrine System ,IL1RN
Colitis-Ulcerative,Digestive System ,IL1RN
Crohn Disease,Digestive System ,IL1RN
Liver Cirrhosis-Alcoholic,Digestive System ; Substance-Related Disorders,IL1RN
Alcoholism,Substance-Related Disorders; Mental Disorders,IL1RN
Psoriasis,Skin and Connective Tissue ,IL1RN
Glomerulonephritis,Urogenital,IL1RN
Purpura-Schoenlein-Henoch,Cardiovascular ; Hemic and Lymphatic ; Immune System ; Pathological Conditions,IL1RN
Vasculitis-Leukocytoclastic-Cutaneous,Cardiovascular ; Immune System ,IL1RN
Glomerulonephritis-IGA,Urogenital; Immune System ,IL1RN
Osteoporosis-Postmenopausal,Musculoskeletal ,IL1RN
Intestinal Neoplasms, Digestive System ,IL1RN
Coronary Artery Disease,Cardiovascular ,IL1RN
Eye Diseases,Eye ,IL1RN
Graves Disease,Eye ; Endocrine System ; Immune System ,IL1RN
Thyroiditis-Autoimmune,Endocrine System ; Immune System ,IL1RN
Alopecia,Skin and Connective Tissue ; Pathological Conditions,IL1RN
Spondylitis-Ankylosing,Musculoskeletal ,IL1RN
Aggressive Periodontitis,Stomatognathic ,IL1RN
Cerebrovascular Disorders,Nervous System ; Cardiovascular ,IL1RN
Cardiovascular Diseases,Cardiovascular ,IL1RN
Multiple Sclerosis,Nervous System ; Immune System ,IL1RN
Acute Disease,Pathological Conditions,IL1RN
Inflammation,Pathological Conditions,IL1RN
Pancreatitis,Digestive System ,IL1RN
Carcinoma-Small Cell,Neoplasms,IL1RN
Carcinoma-Large Cell,Neoplasms,IL1RN
Lung Neoplasms, Respiratory Tract ,IL1RN
Glaucoma-Open-Angle,Eye ,IL1RN
Malaria-Falciparum,Parasitic ,IL1RN
Venous Thrombosis,Cardiovascular ,IL1RN
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,IL1RN
Lupus Nephritis,Urogenital; Skin and Connective Tissue ; Immune System ,IL1RN
Silicosis,Respiratory Tract ; Occupational ,IL1RN
Bronchiolitis-Viral,Virus ; Respiratory Tract ,IL1RN
Infant-Premature-Diseases,Congenital-Hereditary-and Neonatal  and Abnormalities,IL1RN
Respiratory Syncytial Virus Infections,Virus ,IL1RN
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,IL1RN
Carcinoma,Neoplasms,IL1RN
Neoplasms,Neoplasms,IL1RN
Infection,Bacterial Infections and Mycoses,IL1RN
Heart Diseases,Cardiovascular ,IL1RN
Hypertension,Cardiovascular ,IL1RN
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,IL1RN
Endometriosis,Female Urogenital,IL1RN
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,IL1RN
Ovarian Neoplasms, Female Urogenital; Endocrine System ,IL1RN
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,IL1RN
Abortion-Spontaneous,Female Urogenital,IL1RN
Encephalitis,Virus ; Nervous System ,IL1RN
Atherosclerosis,Cardiovascular ,IL1RN
Shock,Pathological Conditions,IL1RN
Lymphoma-Non-Hodgkin, Hemic and Lymphatic ; Immune System ,IL1RN
Cystic Fibrosis,Digestive System ; Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,IL1RN
Coronary Disease,Cardiovascular ,IL1RN
Periodontal Diseases,Stomatognathic ,IL1RN
Death,Pathological Conditions,IL1RN
Osteoarthritis,Musculoskeletal ,IL1RN
Scleroderma-Systemic,Skin and Connective Tissue ,IL1RN
Kidney Failure-Chronic,Urogenital,IL1RN
Premature Birth,Female Urogenital,IL1RN
Hepatitis C,Virus ; Digestive System ,IL1RN
Brucellosis,Bacterial Infections and Mycoses,IL1RN
Carotid Artery Diseases,Nervous System ; Cardiovascular ,IL1RN
Histiocytosis-Langerhans-Cell,Respiratory Tract ; Hemic and Lymphatic ,IL1RN
Brain Injuries,Nervous System ; Wounds and Injuries,IL1RN
Gallbladder Neoplasms, Digestive System ,IL1RN
Cerebral Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,IL1RN
Alopecia Areata,Skin and Connective Tissue ,IL1RN
Stroke,Nervous System ; Cardiovascular ,IL1RN
Cryoglobulinemia,Cardiovascular ; Hemic and Lymphatic ; Immune System ,IL1RN
Edema,Pathological Conditions,IL1RN
Gallstones,Digestive System ; Pathological Conditions,IL1RN
Bronchopulmonary Dysplasia,Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,IL1RN
Duodenal Ulcer,Digestive System ,IL1RN
Dengue Hemorrhagic Fever,Virus ,IL1RN
Pemphigoid-Benign Mucous Membrane,Eye ; Skin and Connective Tissue ,IL1RN
Osteoarthritis-Knee,Musculoskeletal ,IL1RN
Purpura-Thrombocytopenic,Hemic and Lymphatic ; Immune System ; Pathological Conditions,IL1RN
Odontogenic Tumors,Neoplasms,IL1RN
Dysmenorrhea,Pathological Conditions,IL1RN
Schizophrenia-Paranoid,Mental Disorders,IL1RN
Acromegaly,Musculoskeletal ; Nervous System ; Endocrine System ,IGF1
Adenoma,Neoplasms,IGF1
Alzheimer Disease,Nervous System ; Mental Disorders,IGF1
Autistic Disorder,Mental Disorders,IGF1
Bone Diseases-Metabolic,Musculoskeletal ,IGF1
Breast Neoplasms, Skin and Connective Tissue ,IGF1
Cardiomegaly,Cardiovascular ; Pathological Conditions,IGF1
Cholestasis,Digestive System ,IGF1
Corneal Diseases,Eye ,IGF1
Crohn Disease,Digestive System ,IGF1
Demyelinating Diseases,Nervous System ,IGF1
Diabetic Cardiomyopathies,Cardiovascular ; Endocrine System ,IGF1
Female Urogenital Diseases,Female Urogenital,IGF1
Hernia-Hiatal,Pathological Conditions,IGF1
Hyperalgesia,Nervous System ; Pathological Conditions,IGF1
Hypertension,Cardiovascular ,IGF1
INSULIN-LIKE GROWTH FACTOR I DEFICIENCY,Pathological Conditions; Otorhinolaryngologic ; Nervous System ; Behavior and Behavior Mechanisms; Mental Disorders,IGF1
Kidney Diseases,Urogenital,IGF1
Kidney Failure-Chronic,Urogenital,IGF1
Liver Cirrhosis-Experimental,Digestive System ,IGF1
Mammary Neoplasms-Experimental,Neoplasms,IGF1
Muscular Atrophy,Nervous System ; Pathological Conditions,IGF1
Nerve Degeneration,Pathological Conditions,IGF1
Peripheral Nervous System Diseases,Nervous System ,IGF1
Pituitary Neoplasms, Nervous System ; Endocrine System ,IGF1
Prostatic Neoplasms, Male Urogenital ,IGF1
Pulmonary Fibrosis,Respiratory Tract ,IGF1
Urinary Bladder Neoplasms, Urogenital,IGF1
Subarachnoid Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,IGF1
Bone Diseases,Musculoskeletal ,IGF1
Liver Cirrhosis-Biliary,Digestive System ,IGF1
Prostatic Hyperplasia,Male Urogenital ,IGF1
Colorectal Neoplasms, Digestive System ,IGF1
Myocardial Infarction,Cardiovascular ,IGF1
Dwarfism,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ,IGF1
Albuminuria,Urogenital; Pathological Conditions,IGF1
Cardiovascular Diseases,Cardiovascular ,IGF1
Glucose Intolerance,Nutritional and Metabolic ,IGF1
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,IGF1
Osteoporosis,Musculoskeletal ,IGF1
Osteoporosis-Postmenopausal,Musculoskeletal ,IGF1
Fractures-Bone,Wounds and Injuries,IGF1
Weight Gain,Pathological Conditions,IGF1
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,IGF1
Diabetes Complications,Endocrine System ,IGF1
Obesity,Nutritional and Metabolic ; Pathological Conditions,IGF1
Primary Ovarian Insufficiency,Female Urogenital; Endocrine System ,IGF1
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,IGF1
Puberty-Delayed,Endocrine System ,IGF1
Puberty-Precocious,Endocrine System ,IGF1
Thrombophilia,Hemic and Lymphatic ,IGF1
Tobacco Use Disorder,Substance-Related Disorders; Mental Disorders,IGF1
INSULIN-LIKE GROWTH FACTOR-BINDING PROTEIN-ACID-LABILE SUBUNIT,Unclassified,IGF1
Lung Neoplasms, Respiratory Tract ,IGF1
Carcinoma-Squamous Cell,Neoplasms,IGF1
Carcinoma,Neoplasms,IGF1
Vascular Diseases,Cardiovascular ,IGF1
Neoplasms,Neoplasms,IGF1
Hyperplasia,Pathological Conditions,IGF1
Thyroid Neoplasms, Endocrine System ,IGF1
Adenocarcinoma,Neoplasms,IGF1
Pancreatic Neoplasms, Digestive System ; Endocrine System ,IGF1
Glioma,Neoplasms,IGF1
Sleep Apnea-Obstructive,Respiratory Tract ; Nervous System ,IGF1
Melanoma,Neoplasms,IGF1
Glioblastoma,Neoplasms,IGF1
Anoxia,Pathological Conditions,IGF1
Osteochondrodysplasias,Musculoskeletal ,IGF1
Colonic Neoplasms, Digestive System ,IGF1
Inflammatory Bowel Diseases,Digestive System ,IGF1
Motor Neuron Disease,Nervous System ,IGF1
Heart Diseases,Cardiovascular ,IGF1
Inflammation,Pathological Conditions,IGF1
Hyperandrogenism,Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ,IGF1
Critical Illness,Pathological Conditions,IGF1
Endometrial Neoplasms, Female Urogenital,IGF1
Endometriosis,Female Urogenital,IGF1
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,IGF1
Leukemia-Myeloid-Acute,Neoplasms,IGF1
Ovarian Neoplasms, Female Urogenital; Endocrine System ,IGF1
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,IGF1
Osteosarcoma,Neoplasms,IGF1
Carcinoma-Renal Cell, Urogenital,IGF1
Atherosclerosis,Cardiovascular ,IGF1
Leukemia-Myeloid,Neoplasms,IGF1
Coronary Disease,Cardiovascular ,IGF1
Pre-Eclampsia,Female Urogenital,IGF1
Esophageal Neoplasms, Digestive System ,IGF1
Wounds and Injuries,Wounds and Injuries,IGF1
Liver Diseases,Digestive System ,IGF1
Neurodegenerative Diseases,Nervous System ,IGF1
Anemia-Sickle Cell,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,IGF1
Sarcoma,Neoplasms,IGF1
Hyperthyroidism,Endocrine System ,IGF1
Carcinoid Tumor,Neoplasms,IGF1
Diabetic Nephropathies,Urogenital; Endocrine System ,IGF1
Fibrosis,Pathological Conditions,IGF1
Scleroderma-Systemic,Skin and Connective Tissue ,IGF1
Hepatitis C-Chronic,Virus ; Digestive System ,IGF1
Acute Coronary Syndrome,Cardiovascular ; Pathological Conditions,IGF1
Carotid Artery Diseases,Nervous System ; Cardiovascular ,IGF1
Disease Progression,Pathological Conditions,IGF1
Myocardial Ischemia,Cardiovascular ,IGF1
beta-Thalassemia,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,IGF1
Meningioma, Nervous System ,IGF1
Leiomyoma,Neoplasms,IGF1
Cardiomyopathy-Hypertrophic,Cardiovascular ,IGF1
Polycystic Kidney-Autosomal Dominant,Urogenital,IGF1
Liver Cirrhosis,Digestive System ,IGF1
Head and Neck Neoplasms,Neoplasms,IGF1
Stroke,Nervous System ; Cardiovascular ,IGF1
Cerebral Palsy,Nervous System ,IGF1
Cachexia,Pathological Conditions,IGF1
Growth Disorders,Pathological Conditions,IGF1
Metabolic Syndrome X,Nutritional and Metabolic ,IGF1
Acidosis,Nutritional and Metabolic ,IGF1
Pleural Effusion,Respiratory Tract ,IGF1
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,IGF1
Folic Acid Deficiency,Nutritional and Metabolic ,IGF1
Dementia,Nervous System ; Mental Disorders,IGF1
Fetal Growth Retardation,Female Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Pathological Conditions,IGF1
Antiphospholipid Syndrome,Immune System ,IGF1
Arteriovenous Fistula,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities; Pathological Conditions,IGF1
Malnutrition,Nutritional and Metabolic ,IGF1
Placenta Diseases,Female Urogenital,IGF1
Breast Cyst, Skin and Connective Tissue ,IGF1
Acquired Immunodeficiency Syndrome,Virus ; Immune System ,IFNG
Anemia-Aplastic,Hemic and Lymphatic ,IFNG
Appendicitis,Bacterial Infections and Mycoses; Digestive System ,IFNG
Atherosclerosis,Cardiovascular ,IFNG
Autistic Disorder,Mental Disorders,IFNG
Brain Diseases,Nervous System ,IFNG
Breast Neoplasms, Skin and Connective Tissue ,IFNG
Bronchiolitis Obliterans,Respiratory Tract ,IFNG
Chills,Pathological Conditions,IFNG
Colonic Neoplasms, Digestive System ,IFNG
Dermatitis-Allergic Contact,Skin and Connective Tissue ; Immune System ,IFNG
Dermatitis-Atopic,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ; Immune System ,IFNG
Disease Models-Animal,Animal ,IFNG
Drug-Induced Liver Injury,Digestive System ; Substance-Related Disorders,IFNG
Entamoebiasis,Parasitic ,IFNG
Eyelid Diseases,Eye ,IFNG
Fever,Pathological Conditions,IFNG
Heart Arrest,Cardiovascular ,IFNG
Heart Failure,Cardiovascular ,IFNG
Hepatitis,Digestive System ,IFNG
Hepatitis B,Virus ; Digestive System ,IFNG
Hepatitis C,Virus ; Digestive System ,IFNG
HIV Infections,Virus ; Immune System ,IFNG
Hyponatremia,Nutritional and Metabolic ,IFNG
Hypotension,Cardiovascular ,IFNG
Job's Syndrome,Hemic and Lymphatic ; Immune System ,IFNG
Legionnaires' Disease,Bacterial Infections and Mycoses; Respiratory Tract ,IFNG
Leishmaniasis,Parasitic ; Skin and Connective Tissue ,IFNG
Leishmaniasis-Cutaneous,Parasitic ; Skin and Connective Tissue ,IFNG
Leishmaniasis-Mucocutaneous,Parasitic ; Skin and Connective Tissue ,IFNG
Leishmaniasis-Visceral,Parasitic ,IFNG
Liver Cirrhosis-Experimental,Digestive System ,IFNG
Lung Neoplasms, Respiratory Tract ,IFNG
Melanoma,Neoplasms,IFNG
Mesothelioma,Neoplasms,IFNG
MYCOBACTERIUM TUBERCULOSIS-SUSCEPTIBILITY TO,Bacterial Infections and Mycoses,IFNG
Nausea,Pathological Conditions,IFNG
Nerve Degeneration,Pathological Conditions,IFNG
Neural Tube Defects,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,IFNG
Oral Submucous Fibrosis,Stomatognathic ,IFNG
Peritonitis,Bacterial Infections and Mycoses; Digestive System ,IFNG
Proteinuria,Urogenital; Pathological Conditions,IFNG
Renal Insufficiency,Urogenital,IFNG
Salmonella Infections-Animal,Bacterial Infections and Mycoses; Animal ,IFNG
Sarcoma,Neoplasms,IFNG
Sepsis,Bacterial Infections and Mycoses; Pathological Conditions,IFNG
Trichuriasis,Parasitic ,IFNG
Tuberous Sclerosis, Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,IFNG
Vomiting,Pathological Conditions,IFNG
Common Cold,Virus ; Respiratory Tract ,IFNG
Hypersensitivity,Immune System ,IFNG
Asthma,Respiratory Tract ; Immune System ,IFNG
Rhinitis,Respiratory Tract ; Otorhinolaryngologic ,IFNG
Tuberculosis-Pulmonary,Bacterial Infections and Mycoses; Respiratory Tract ,IFNG
Graft vs Host Disease,Immune System ,IFNG
Chronic Disease,Pathological Conditions,IFNG
Celiac Disease,Digestive System ; Nutritional and Metabolic ,IFNG
Hypersensitivity-Immediate,Immune System ,IFNG
Acute Disease,Pathological Conditions,IFNG
Tuberculosis-Miliary,Bacterial Infections and Mycoses,IFNG
Tuberculosis-Pleural,Bacterial Infections and Mycoses; Respiratory Tract ,IFNG
Shock-Cardiogenic,Cardiovascular ; Pathological Conditions,IFNG
Critical Illness,Pathological Conditions,IFNG
Parvoviridae Infections,Virus ,IFNG
Hepatitis B-Chronic,Virus ; Digestive System ,IFNG
Recurrence,Pathological Conditions,IFNG
Brucellosis,Bacterial Infections and Mycoses,IFNG
Multiple Sclerosis,Nervous System ; Immune System ,IFNG
Polymyalgia Rheumatica,Musculoskeletal ; Skin and Connective Tissue ,IFNG
Giant Cell Arteritis,Nervous System ; Cardiovascular ; Skin and Connective Tissue ; Immune System ,IFNG
Endometriosis,Female Urogenital,IFNG
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,IFNG
Glomerulonephritis-IGA,Urogenital; Immune System ,IFNG
Kidney Failure-Chronic,Urogenital,IFNG
Disease Progression,Pathological Conditions,IFNG
Angiomyolipoma,Neoplasms,IFNG
Kidney Diseases,Urogenital,IFNG
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,IFNG
Tuberculosis,Bacterial Infections and Mycoses,IFNG
Pulmonary Fibrosis,Respiratory Tract ,IFNG
Abortion-Habitual,Female Urogenital,IFNG
Graves Disease,Eye ; Endocrine System ; Immune System ,IFNG
Hashimoto Disease,Endocrine System ,IFNG
Sjogren's Syndrome,Musculoskeletal ; Stomatognathic ; Eye ; Skin and Connective Tissue ; Immune System ,IFNG
Hematologic Neoplasms, Hemic and Lymphatic ,IFNG
Anemia,Hemic and Lymphatic ,IFNG
Immunologic Deficiency Syndromes,Immune System ,IFNG
Papillomavirus Infections,Virus ,IFNG
Cervical Intraepithelial Neoplasia,Neoplasms,IFNG
Carcinoma-Squamous Cell,Neoplasms,IFNG
Uterine Cervical Neoplasms, Female Urogenital,IFNG
Neoplasm Invasiveness, Pathological Conditions,IFNG
Hepatitis E,Virus ; Digestive System ,IFNG
Wounds and Injuries,Wounds and Injuries,IFNG
Histiocytosis-Langerhans-Cell,Respiratory Tract ; Hemic and Lymphatic ,IFNG
Severe Acute Respiratory Syndrome,Virus ; Respiratory Tract ,IFNG
Pregnancy Complications-Infectious,Bacterial Infections and Mycoses; Female Urogenital,IFNG
Enterocolitis-Necrotizing,Digestive System ,IFNG
Bronchopulmonary Dysplasia,Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,IFNG
Pneumonia,Respiratory Tract ,IFNG
Respiratory Distress Syndrome-Newborn,Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,IFNG
Ductus Arteriosus-Patent,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities,IFNG
Hepatitis C-Chronic,Virus ; Digestive System ,IFNG
Liver Cirrhosis,Digestive System ,IFNG
Fetal Membranes-Premature Rupture,Female Urogenital,IFNG
Obstetric Labor-Premature,Female Urogenital,IFNG
Tuberculosis-Meningeal,Bacterial Infections and Mycoses; Nervous System ,IFNG
Bronchiolitis-Viral,Virus ; Respiratory Tract ,IFNG
Infant-Premature-Diseases,Congenital-Hereditary-and Neonatal  and Abnormalities,IFNG
Respiratory Syncytial Virus Infections,Virus ,IFNG
Abscess,Bacterial Infections and Mycoses; Pathological Conditions,IFNG
Esophageal Neoplasms, Digestive System ,IFNG
Postoperative Complications,Pathological Conditions,IFNG
Respiratory Tract Infections,Bacterial Infections and Mycoses; Respiratory Tract ,IFNG
Colitis-Ulcerative,Digestive System ,IFNG
Carcinoma,Neoplasms,IFNG
Prostatic Neoplasms, Male Urogenital ,IFNG
Colorectal Neoplasms, Digestive System ,IFNG
Neoplasms,Neoplasms,IFNG
Adenocarcinoma,Neoplasms,IFNG
Carcinoma-Hepatocellular, Digestive System ,IFNG
Infection,Bacterial Infections and Mycoses,IFNG
Lymphoma, Hemic and Lymphatic ; Immune System ,IFNG
Glioblastoma,Neoplasms,IFNG
Anoxia,Pathological Conditions,IFNG
Inflammatory Bowel Diseases,Digestive System ,IFNG
Inflammation,Pathological Conditions,IFNG
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,IFNG
Ovarian Neoplasms, Female Urogenital; Endocrine System ,IFNG
Myocardial Infarction,Cardiovascular ,IFNG
